CarType,Year,Color,Miles
Sedan,1993,Yellow,2368
Hatchback,1979,White,21831
Sedan,1985,Blue,90091
Convertible,2021,Green,127197
Convertible,2013,Purple,63659
Sedan,2017,Blue,233834
Convertible,2008,Blue,215798
Hatchback,1991,Brown,129604
Hatchback,2009,Red,101669
Sedan,2003,Brown,115846
Sedan,2011,White,13207
Hatchback,2005,Purple,162755
Convertible,1982,Brown,179373
Sedan,1981,Purple,207663
Sedan,1975,Yellow,124986
Convertible,2007,Red,242598
Convertible,1982,Orange,141963
Convertible,1993,Black,166459
Convertible,1999,Red,106640
Sedan,1984,Orange,180760
Convertible,2011,Blue,48707
Sedan,2020,Red,86136
Convertible,2023,White,180117
Convertible,2008,Yellow,213307
Convertible,2019,Red,162524
Hatchback,1992,Black,174948
Sedan,2000,Blue,167741
Convertible,2000,Blue,148018
Sedan,1977,Yellow,229874
Hatchback,1995,White,123588
Sedan,2007,Green,37094
Hatchback,1979,Black,108509
Sedan,2018,Brown,227712
Sedan,2007,Orange,12015
Hatchback,1997,Red,204820
Convertible,1986,Yellow,147141
Sedan,2004,Brown,47049
Hatchback,1999,White,25405
Convertible,2023,Orange,166529
Hatchback,1994,Brown,66325
Sedan,2013,White,27982
Sedan,2010,Yellow,115500
Convertible,1988,Red,88343
Hatchback,1991,Red,208873
Convertible,2014,Black,103146
Sedan,2009,Orange,88594
Hatchback,1994,Black,165358
Sedan,1982,Pink,119354
Convertible,2020,Orange,101630
Sedan,1996,Brown,195820
Convertible,1976,Brown,44658
Sedan,1997,Red,173237
Convertible,2011,Yellow,182899
Sedan,2002,White,18145
Hatchback,1974,Black,80217
Hatchback,1986,Pink,90579
Sedan,1975,Brown,115477
Sedan,2012,Brown,159994
Convertible,2017,Purple,55743
Hatchback,1979,Orange,241644
Convertible,1997,Pink,32613
Sedan,1993,Pink,131194
Sedan,2013,Orange,129746
Sedan,1985,Purple,249101
Convertible,1979,Red,241363
Convertible,1975,Brown,118213
Hatchback,1982,Black,201269
Hatchback,2006,Blue,232987
Convertible,2019,Yellow,230350
Sedan,2008,Brown,12515
Convertible,1982,White,238530
Sedan,1976,Blue,163345
Convertible,2018,Green,165817
Sedan,1976,White,159457
Convertible,2023,Green,131163
Convertible,1977,White,81168
Hatchback,2003,Yellow,107360
Sedan,2014,Green,182515
Sedan,1979,White,245494
Sedan,1983,Green,189401
Hatchback,1994,Red,121288
Sedan,1975,Yellow,159191
Sedan,2001,Yellow,81399
Hatchback,2015,Pink,136387
Sedan,2017,Brown,35487
Sedan,1982,Green,91263
Sedan,2015,Pink,223249
Convertible,2017,Green,207288
Hatchback,1993,Purple,25621
Sedan,2015,Red,81754
Sedan,2023,Orange,119496
Hatchback,1979,Purple,82549
Sedan,2013,Orange,115580
Convertible,2020,Brown,25848
Sedan,2001,Purple,22342
Sedan,1986,Pink,66599
Convertible,2001,Blue,242269
Convertible,1997,Orange,139076
Sedan,1991,Brown,8632
Sedan,1992,White,83627
Hatchback,2007,Brown,6812
Convertible,1981,Black,192951
Sedan,1974,Green,151520
Sedan,2004,Brown,130429
Convertible,2009,Purple,149452
Sedan,2008,Brown,69359
Hatchback,1995,Orange,76419
Convertible,1992,Red,171431
Sedan,1988,Yellow,82198
Sedan,1986,Brown,40144
Sedan,1999,Red,82435
Hatchback,2021,Red,103492
Sedan,1974,Brown,179821
Sedan,2019,White,97510
Convertible,2004,Blue,52060
Convertible,1988,White,11978
Sedan,2008,Yellow,99711
Sedan,1984,Black,27360
Sedan,2014,Blue,165885
Convertible,1988,Red,33941
Hatchback,2008,Yellow,19421
Sedan,1984,Yellow,240011
Sedan,2014,Green,108860
Sedan,1993,Blue,188218
Sedan,2015,Orange,76
Convertible,2016,White,162028
Convertible,1976,Orange,122150
Sedan,1993,Red,224089
Sedan,1982,Black,76452
Convertible,2012,Red,216712
Hatchback,1987,Yellow,49132
Sedan,2016,Purple,161815
Sedan,1993,Brown,244516
Sedan,2023,White,234367
Sedan,1979,Orange,142855
Hatchback,1984,Orange,239409
Hatchback,2007,Black,159798
Sedan,1979,Black,232008
Sedan,2009,Pink,195045
Sedan,1978,Pink,200829
Sedan,2016,Orange,204930
Hatchback,2008,Green,241533
Sedan,2015,Purple,167287
Sedan,2014,Brown,127498
Convertible,2021,Black,127474
Sedan,1977,Red,238226
Sedan,1980,Red,171857
Hatchback,1987,Green,236450
Convertible,2013,Purple,143332
Hatchback,1983,Brown,111692
Sedan,1986,White,144947
Hatchback,2022,Pink,209214
Sedan,2009,Yellow,144493
Sedan,1998,Blue,67809
Sedan,2016,Blue,122151
Convertible,1992,Pink,161267
Convertible,2020,Pink,69124
Sedan,1987,Purple,166823
Convertible,1981,Orange,22432
Convertible,1988,Purple,5516
Hatchback,1988,Purple,85814
Sedan,1994,Brown,23367
Hatchback,1993,Purple,212118
Hatchback,1976,Red,205671
Sedan,2015,Orange,160689
Convertible,2017,Red,61199
Convertible,2012,Brown,17024
Sedan,2018,Yellow,161093
Convertible,2012,Pink,98609
Convertible,1992,Red,211217
Sedan,2010,White,68824
Sedan,2008,Red,56248
Sedan,1990,Red,64235
Hatchback,2000,Black,182510
Convertible,1980,Purple,114025
Sedan,2012,Black,178856
Sedan,1991,Yellow,60182
Sedan,1974,Green,182557
Convertible,1981,Red,210236
Hatchback,2021,Orange,127711
Sedan,1993,Green,157780
Hatchback,2017,Black,204405
Convertible,1982,White,226092
Hatchback,2005,Brown,126282
Convertible,1991,Green,218987
Sedan,2005,Yellow,93672
Sedan,1986,White,205531
Hatchback,1983,Black,176017
Convertible,2022,Brown,116969
Sedan,2018,Yellow,126618
Convertible,1997,Red,176665
Sedan,1992,Orange,27328
Sedan,1998,Green,207525
Convertible,1986,Red,123291
